	E0_680	E1_359	E2_1451	E3_142	E4_509	E5_7	E6_387	E7_145	E8_1223	E9_1173	E10_1791	E11_537	E12_79	E13_1869	E14_1640	E15_1166	E16_505	E17_289	E18_666	E19_1213	E20_1471	E21_988	E22_4	E23_1028	E24_1791	E25_1602	E26_1211	E27_1533	E28_1993	E29_1884	E30_1232	E31_313	E32_537	E33_376	E34_93	E35_633	E36_1327	E37_1528	E38_1705	E39_939	E40_1040	E41_935	E42_1147	E43_1478	E44_1585	E45_517	E46_1720	E47_1407	E48_962	E49_1511	E50_1261	E51_1661	E52_1267	E53_450	E54_500	E55_590	E56_587	E57_1138	E58_1605	E59_1277	E60_938	E61_629	E62_1376	E63_1501	E64_457	E65_288	E66_704	E67_167	E68_1739	E69_856	E70_324	E71_1434	E72_606	E73_1015	E74_1323	E75_1159	E76_1480	E77_1290	E78_1941	E79_1968	E80_825	E81_409	E82_1926	E83_274	E84_850	E85_1667	E86_640	E87_1681	E88_189	E89_50	E90_1102	E91_1092	E92_1432	E93_1405	E94_1546	E95_1150	E96_575	E97_1677	E98_1461	E99_276
g10rp1	2.301634872033091	1.5199212591354831	1.829954113939669	2.0692065395978845	1.8560765230487408	1.2705410841318534	2.3612076947900293	1.95187170290445	1.9377055634679727	2.2070760975621244	1.5466578546581846	1.8333060406603263	1.4250626864889608	1.8497256869287315	2.609737067883146	0.013923830999380623	2.0011293031621094	1.6294999637436902	2.028075122910189	1.82898959391358	2.7543723049407816	1.948634519935186	1.145872043268053	2.2276736374875545	1.823264628803953	1.5646614376553436	2.6677526168475896	1.7713547570664443	2.162065053255527	1.5844619470355352	1.7927770695414067	2.33293263862946	1.6376442039578545	1.8205886089633443	1.8393702832079413	1.4853180631009029	2.089632312634397	1.840151579252859	1.7799200370065102	2.193450587202714	2.156564792027652	2.4982688698522253	2.3877818349759887	2.378542402284999	2.027785259875753	0.02788659232381186	1.6752228986192486	2.6254126525153154	1.5583739325195032	1.9615476670129248	2.2225947134216124	2.8507569631687053	1.3861927302871688	2.166470605923456	2.0134588473565933	2.295346740689831	2.191327759897429	2.7861142389310563	2.4630233127620564	1.6615742314416608	2.153847633079524	1.9169453289028415	1.4993463370656628	1.9020471742255685	1.968725679364298	2.130526499694984	2.648011784494705	1.8146566539905047	1.8831141944308918	0.03558037405520835	2.3502361623283266	2.05477769895303	2.200527909739772	1.7418434930794429	2.5507709982434257	1.2707071353813308	1.895364543129181	1.7480933463300288	1.4428749683731628	2.1620095348894384	1.2544998211558789	1.9362706588286207	2.1388945659642555	2.229246642512224	2.373096323439862	2.094835696099212	1.7509948097764898	1.4983156664448092	1.9116619492135056	1.292809889553605	2.282999419211894	2.5496220324914924	1.8364767385495628	2.47725330743549	1.4033362944516998	1.8110170564065309	1.8815464385262204	1.4497204424090897	1.8567735896285824	2.541456721009664
g11rp1	1.9559101258052527	1.7676298763781937	1.617272145023413	0.18962043000742024	2.168344124945234	1.6175128159814025	2.149353555254674	2.0973974069732497	2.243885847435095	2.0732389635125354	2.007568069801849	2.215777893832948	1.8491741611448755	1.7234929386895423	1.958223812721133	1.5019632723206071	1.8949818107291247	2.1281747312280688	2.0019850778317383	2.053876468627767	1.7943642776931574	2.363634903289797	1.1299592536916392	2.326128320068816	1.9470107582066518	1.7782264071656173	2.127805314224456	1.5967799851152429	1.7674706535259983	2.5172251563050385	1.9826529620062967	1.8274939577698308	2.0508952024475717	1.650286908157219	1.536883955015907	1.8506263625184611	2.123063897712889	1.9140374425813111	1.9952474900133848	1.593045601535776	1.6592068222452223	1.759066208029854	1.6617108825191849	1.8195086153683049	2.0455085172106324	1.8768947298104035	1.6316222123519322	1.8737222236835467	2.004502477769193	2.4619309710486452	2.018667962161314	2.5886250146665915	2.00406158747313	2.846935461093888	2.732086270959728	2.7922867625579046	1.691367038854498	2.174923792899916	1.7532381086988758	2.072960386910907	2.0615019855102337	2.409844263509337	1.5761763398739497	1.8450410613313168	2.205863084425592	2.36861393896777	1.6913116654448224	1.7080028045473938	1.7135845734774928	2.2536349243563736	1.5011779160308771	1.9011592323092104	2.264825947139028	1.6627036102367532	1.943766722402816	2.2731805684728044	1.5516244343521408	1.7178281793248769	1.5827596124673435	1.7588342369916663	2.1566362402433517	1.2909571838199123	2.026107903268661	1.9834953598142748	2.1901677898313494	2.901347378371263	1.955664731124617	1.3765929454016679	2.260861231016172	1.8378716310157968	1.7958633273554998	1.7199452953755638	1.7465481326721766	2.0423613914730883	2.056256480877172	2.177041083485948	2.2635437536808705	1.8538433888854349	2.4271881530887707	1.9936189032526508
g12rp1	2.1800057442536454	1.5926030061201586	1.7936867558815277	0.06957954107312278	1.4211290378435573	1.4666019800465624	1.7970012032705824	2.103895493506214	2.092449045326009	1.9066412388667602	2.1894522787051294	1.5400869908131658	2.0346767879942105	2.2350924923348257	1.3123485230440464	2.487248531980413	2.524368716902814	1.4083688504110208	1.9429693771310128	1.9942647441055483	2.395659164912473	2.5635068036643456	1.1550439706701927	1.6184970763300957	2.105231911679289	1.898847309986372	1.8611477793551208	1.8786974016562632	1.9960973870354959	2.1116389380094285	1.9543404443524228	1.7181810399714583	2.6570385321356524	1.8420711393675329	1.8173739272783007	1.4527174618551115	2.055729448147474	1.8678579159498705	2.070246606046005	2.5547462815956634	1.783385296068604	1.4827021651672498	1.6356416807254286	2.2145033567986774	2.2266358675101365	1.5461059094249288	2.5506731849472883	2.45221925559863	2.5488614356551964	2.1548526413680125	2.051109112908097	2.0310707167514317	1.914019257791548	1.4823964233623723	2.685232057952692	1.7770430728446884	2.026468815233644	2.093098875361729	1.161504193051471	2.014064465598166	2.0373178033151804	1.896287543927568	1.955476965296273	1.7067755695244122	2.1381055109802967	1.7740975266536243	1.5555649574709638	1.6885632158507424	2.2422264033521344	2.5538910617378097	1.8644340278596023	1.8202674651865665	2.2261085674240624	2.2564065813486684	1.6667460295230956	2.079840559989988	2.3925516502617667	2.090981552327193	2.0328866289761733	1.9754789818910088	2.4067998337518337	1.6506864814782858	1.9699210659058464	1.9766384712310232	1.9220896098242968	1.7637624815725608	2.6220073331909117	2.338039242054493	2.1637488497128445	1.9983389538357248	1.6995282818528792	2.498991754528803	1.984408664782646	2.062119670238069	1.938338045960636	2.00123798312073	2.5666645371619423	2.1877041726951494	1.9760227667449304	1.5797528813824595
g13rp1	1.8499415612738648	1.9206763415389296	1.3424242630234713	0.263634761371297	2.8887896585780046	0.8776871550872657	2.1027027235588647	0.9954869551786762	1.799122381471384	1.8500332759979785	2.6084743494757348	1.8747701557185577	0.9794372727769279	2.232855012259751	2.345756406381029	1.9306893392228328	1.948889507108328	2.771465974441154	1.1597978828767976	1.2222134382010028	1.8751230743588032	1.5527258830450354	1.1311738838518393	2.731851272503153	2.1325871535069374	1.9686422935706345	2.4213605189542715	1.7034106057006884	2.0368220942553705	1.8428330054678888	2.065001097653641	2.024386219014479	2.3039915168703136	1.9574110845839128	1.8846796365402128	2.035598632552828	2.043848033332364	1.960111574038349	2.02857409843126	2.1043825073180367	1.59911011212418	1.600830246593322	2.4345111706417013	2.2220690973912625	1.5730742911261768	2.0644114075863493	1.985287768719894	2.090200634452844	2.1898977260821346	1.1558543050103214	1.8578745803051844	2.245203518281325	1.6594491056290146	2.161394890137283	2.0017024744412453	2.0617384474739624	1.5045103849479682	2.0256061016178752	1.6544894502920977	2.6053208495395093	2.043690135507805	2.043940940403868	1.4877442451402942	2.196457057683688	1.9447163720129481	1.909699418284026	2.0155612012747826	2.1697057622777822	1.981469089732873	1.8496708443320489	1.5433064044441098	1.8876979712208504	2.0876866363283217	1.9523958643653707	1.91015417438501	1.8062419154781488	1.845490079724124	1.872874061552074	1.936467724826047	2.0652142609484208	2.2557881830416013	2.117657462830773	2.1272872498448714	1.5513002160017633	2.1126702201641048	3.1860033894363684	2.2058737668461648	2.2248004399319754	1.904057459449923	2.0765145431003718	2.0662296946020984	1.79783490087282	1.8533665589222783	2.3079421958816098	1.9733377086425927	2.0096551789511743	2.0141882202787285	2.04126668073751	2.799226240263798	1.3584290199814926
g14rp1	2.447250317407622	2.113444162373099	2.0765022017012296	0.013895584084933752	2.236143165794641	0.9709190667672304	1.7693497401710585	1.9651965642872118	1.8013451181151987	2.1264130235906205	1.80506427163938	1.8509151853782129	1.9095389724763312	2.3117572762150886	1.8378491994107773	1.7204970932567103	2.224181736662356	1.7190354732797548	1.9543744540651091	1.8939423337283847	1.6489468609611144	2.217177866694756	0.9267005190025878	1.6103757644349819	2.848135748733568	1.739661281216689	2.128939223331275	2.119237400791432	1.5328983954408135	2.149209878343945	2.530420589224056	2.1936805832287907	1.7829170799653349	1.9099077186192648	2.121310560948958	1.6041225074342154	1.6859827329295922	2.088474694780238	2.063137017714797	2.3985992043038054	2.2845145101939965	2.5138114151595747	2.1577493248077	1.7337878175187251	1.4939183612733784	1.9584702016969144	1.9736751034381008	1.5708063837427333	1.8618556333152985	1.6546768482701013	1.835878589562795	1.648970449583441	1.0875947411269669	1.8165724984867908	2.300125048439745	2.1474641081333696	3.0045949198681328	2.1707352726311737	1.641416242903887	1.9729036979447856	2.3823510095409812	2.195949184814033	2.138744257327186	1.7180617489307684	2.1104180992022714	2.189473757220713	1.9245645946392729	2.465698587862615	1.8012205386603235	1.804937997133883	1.26766128667668	1.900132917068447	1.7764460631932644	2.108267011451456	2.0957719439927356	2.546983227461873	1.9068336596885216	1.6239203589039863	1.8780334001941397	1.850752946083832	1.6188117602184209	2.2185854841725248	1.906614978108224	1.4056276721560002	2.3434994119003902	2.5940761156073577	1.9559048300041264	1.5353447761658048	2.031499400903325	1.3870876512584225	1.9594301865113697	1.995910823109056	1.6767468212193104	2.360520045336526	1.8172350006472089	1.950844768286444	1.6516156772147732	1.8037483464548607	2.763867406046462	1.8079261964283293
g15rp1	1.9194757622043783	1.8503508572479888	2.071351579228056	0.05931609203386867	2.12950589774305	1.071116174651479	2.15175072430246	1.6897979098302545	1.746143281607413	2.349306789539808	2.189751116239335	2.094786900240421	2.0336479935650766	2.113880759841094	2.0761842206223164	1.825588166166329	2.0738207887861497	2.042591318051857	2.4854823166052857	1.4042457804917259	1.8921786120272777	1.5749362885338598	1.1525505906577451	2.230701601075109	1.7138204606696998	2.0674542462784564	1.107878846706651	1.5858731649691111	1.3356218194795704	2.1363305304405547	1.6649309772258725	2.088256619021643	2.0586065716189728	1.5656557281953298	1.9980751656608424	2.599322595476648	1.9388717725184104	1.99254286499147	1.6491909052787774	1.876494833756236	2.359483025927352	2.3052008363263843	1.1026315556654511	2.0858924095345253	1.6892327421691176	2.8055481272414062	1.5331432965762872	2.122973211113781	1.8887426591712635	1.6874503470969466	1.968292864506238	1.7148833695901973	1.9039316761397729	2.303307130541271	1.5496463079711804	2.2843685361731096	1.82571956813562	2.0241020937462038	1.3942443024466835	2.1238632542251783	1.8298055467498664	2.217390126188004	1.9585868127201336	1.9466205310962656	1.6933942773518171	1.912673538855732	1.7448373177495318	1.7713708595954942	1.7968426940844089	2.786606903451766	1.6223057716876903	1.9297658523690209	1.716585930572344	2.255056476535544	1.6161512923758277	1.8065079230623224	1.706902113339169	2.401460426270333	2.2871601342569017	2.358024766970638	1.821829548671961	1.795684009881347	2.034195613707148	2.38977992961418	1.7019214562691478	2.1035300947578097	1.7943224931034898	1.331150827921125	2.0279875744013767	1.3364750565504635	1.8939729004718744	1.8824915890847649	1.9171629097110008	2.1649479335512782	2.2874233020981842	1.917454688722844	2.1157422953924843	2.384941582794561	1.9636887017006248	2.308264713991469
g16rp1	2.4613288455819937	1.780642842905119	0.008326464625290084	2.3646982070736016	2.175217831354884	1.2331115779302917	2.354217997487197	1.829228040475588	0.001961109908756307	3.0579036421198555	0.005957936178311211	0.009979236789722104	1.4126725158471891	1.9348500840444969	0.006552177865466653	0.002267840544491414	1.5716615154161018	2.4780052002673627	0.03620735771824008	0.0035755541311360533	0.033611959828494034	0.0218710511161702	1.1173432539996986	0.015393144671688697	1.6784866258106257	2.2817451767744044	2.175641992837034	0.00023075994210187089	0.05055237199693372	2.1635884647418853	1.5415048675655316	0.21540742374510988	2.235209003359841	0.0011137396345384403	0.5772970446462494	0.025208322406192564	1.9646930674986351	1.3983850033490606	2.03855326326637	1.7522962752993356	0.00826466992151173	0.030299469180546906	1.8617952977344967	0.009851024924134805	1.7820270601003696	2.2452969598206103	1.8614774603678936	0.013400700975026351	2.4289730826245752	0.000712874185977465	0.013130078566375884	0.005579466716014342	0.021610379208255474	0.029090113198972107	1.6674207986899867	2.073591303455485	2.48037560895724	0.002585435590386684	0.008274080333475896	0.01575986195386555	0.014850378813160772	0.0007860979341220383	2.2596406977462817	0.011303896709163031	1.977747711762445	2.457601787886975	0.0010680278382916577	0.8324763271738951	2.233111695684396	2.3677256423819046	0.10805881668371874	0.0893229371186174	2.53122315672406	1.838920899116646	0.011772829859010457	2.221256052741809	1.7194856286731643	1.9593950895213907	0.005482614254790096	0.2464507797121735	0.013283762932314518	1.6002882258858675	0.03860962690433816	0.017379432845108858	2.0204853886591967	1.5781459779572362	0.02189778722264773	0.032467099870486814	1.3751994340788616	1.0582808884448032	6.85293983368235e-05	2.215121307903385	0.01801971744976073	0.006453626768647776	0.0012116862524393765	0.04813640471510182	1.3927526420314411	0.0527771962961777	0.04870378358766229	1.9457726105153537
g17rp1	0.41353159583234855	1.512304167270088	0.07487288154913355	0.18011388752339608	2.6771911368891965	0.8368674819158994	2.0454397174816634	2.271142530676906	0.0008339718409399668	2.0346712638534874	0.020827810680514168	0.0020514796946824237	1.686039789092699	1.880945993078544	0.00012544020159615914	0.09054075202256788	2.0361887190978134	1.0846988205141237	0.03643822132536717	0.0034415187882583034	0.004831033437272236	0.7485923245250089	1.1628527264862052	0.0005002651936078295	2.04566172810628	2.124932579864224	2.0297671822661933	0.004321152267991568	0.010203675944849906	1.9515955220867585	1.7207461480845356	0.01962975020868702	2.306902122805483	0.008713495318602006	0.5354568316202362	0.018581427169733523	1.64747711160817	1.7324415318217854	2.50835213427434	1.7990961659752125	0.021831110102101568	0.02164300350132316	1.9927784121135408	0.003972406653633825	1.9721495906324835	1.9615774344079668	1.4770121129413674	0.02205740555467705	1.5443510094355466	0.0637495568518149	0.011100374838923559	0.02624464041758298	0.028447624820732605	0.012321281360472664	2.1503539656256576	1.7913174618876426	1.4771808043699368	0.006159751807637497	0.06191273313205306	0.0151983605700658	0.003857432376485217	0.010674710658219915	1.8370023448655817	0.00221777946023512	2.03372723950299	2.136834075468318	0.04821851861121936	1.8089425568845665	1.8814585131366075	2.660010745906145	0.009715746182818643	0.6379522008490025	1.7092930038642251	1.7930843784291146	0.004921060836218464	2.1062945422858017	2.0906387038106082	1.3633635196744525	0.006386783414131465	0.011941232427471402	0.009156971448465738	1.9803102761844824	0.0006002908390140847	0.01738006589290645	2.023721811142896	1.9361243926410043	0.008282783604861052	0.0281138347533314	1.6304795696647996	1.0019695360713643	0.009851223892461118	2.4636937776016268	0.02363716093781006	0.0008895215325952011	0.018082855561651297	1.338315879843388e-05	1.838458925406384	0.010919499365907123	0.04002724765420553	2.178878599025242
g18rp1	0.005676998020856108	1.917480172990512	0.003672693441416572	1.6369806665406617	2.017354951280838	1.6084869994815687	1.870817152185184	1.18164296199817	0.01035641228389126	2.365671750001834	0.007791701858677056	0.0014208160019098422	1.6974384538350165	1.7028725954972743	0.01103523312200059	0.023039501723786583	2.5311664032590486	0.01377424149982461	0.09922032200387663	0.002064939614883153	0.006698080830918135	2.157391750285372	1.0323257830469508	0.06406169004369969	1.9396748390106664	2.2969960990714946	2.201096383085902	0.039391947698493454	0.0007089859820007503	2.287351803214098	2.0246305958119386	0.8123183109218516	2.346547084127719	0.014107904113776468	0.2530094205754526	0.00938865521019943	1.8668835181188788	1.6139541832233837	2.1220695839105788	1.591325773618942	0.0315711610848315	0.04556135390629164	2.452365391040169	0.01832310887996621	1.7797930073098618	2.140610147151288	2.616706402935283	0.0037556643071665436	2.178219659857867	0.029998903211688487	0.04590440328301382	0.043767045560100346	0.0035098511230238594	0.003392843339005871	1.3224747123519098	2.7130310024641258	1.8492962410573155	0.01533249760119481	0.00266888717109026	0.004800831732076684	0.0016955571287140775	0.03614500185735012	1.4735765244083894	0.025943025700499	1.6942792047962425	2.0024923506116292	0.001093687725399842	2.4087507952612683	2.7271688751665293	0.20214284708140806	0.9545433510818621	1.6127684533826523	1.6761944273679263	2.0101039292539644	0.006733903129643311	1.6905323501292555	1.92511630596963	1.844948874231683	0.011254212928860323	0.006223023222829643	0.014091578309699076	2.0957840006097963	0.0044560361719112535	0.037887365333080375	2.060515821207305	1.6995957150496257	0.01475704919555494	0.001260477980508459	1.5918383189641034	1.4973620030267667	0.0017768637641121833	1.4916524366735855	0.030174916189148887	0.009307621397916584	0.012789515064939512	0.013091047288029595	2.6357031180595545	0.002678228525725041	0.002756230990929405	1.8977077663743784
g19rp1	0.014312328731117516	1.6916596008414473	0.04282442849034702	1.3458983429724611	2.123067646961895	0.5872255055436693	1.7471165291476034	1.7011101758556335	0.0005884066032777013	1.8705036657145089	0.05199273142979008	0.04423779060783596	1.8230784051894813	1.248790371644246	0.010853723687871278	0.0009548156920861262	1.7155917950835455	0.4137726353373448	0.004619939253762586	0.07315168325146379	0.04655645153906088	1.9416516708006823	0.9443857749857596	0.0046366488861032855	1.7498119129921863	2.017650083438356	1.4184905647303039	0.030597402890909425	0.06503995611059563	1.9240698394802784	1.9215096195372987	1.6754997181897662	2.0385175337448205	0.06455750428692911	0.05178162834682255	8.587770190519505e-05	2.8345199650522312	1.9435425207689887	1.8090997249520235	1.844512758959289	0.05257620045607614	0.03999427316153535	2.3284315953380883	0.017511319093709843	1.9481417369049665	1.3217668422792006	1.7177280224166076	0.032475749971670284	2.2116656590383164	0.05864243613386867	0.00497022128038547	0.005397074727073763	0.002769408366365845	0.02525093240611077	1.7182516329867166	2.1907851017314046	1.6595997860382403	0.005702752406347736	0.07856858634899393	0.006653424390512927	0.009886034393295872	0.0073756849369565934	2.021613955145752	0.002356399534258483	1.8520214808046067	1.529890030246056	0.00538663450280728	0.8699734243232068	1.785428274241186	0.10676284886134102	2.0549589848777616	1.6900235920371118	2.43880642960922	1.6320899799505288	0.031898249739973836	2.603861364905875	2.118451164114595	2.0996490822801355	2.5146541350491957e-06	0.00471876425162701	0.002391297400665554	1.7148022044173334	0.11091120545854667	0.1329209525952737	1.8661976291446791	1.5961551218769396	0.03224173521977248	0.05171641109645398	1.6670491207980964	1.3301748932373512	0.003359458115955401	1.7395857651074853	0.046437294278774965	0.008372787973165345	0.0037441587306828775	0.02663932841769838	1.7735513761757966	0.0038936260577840313	0.010092641631503831	1.8356059881085447
